"industry","okved","salary_per_month","specific_income_tax","specific_property_tax","specific_land_tax","specific_personal_income_tax","specific_transport_tax","specific_other_taxes","specific_income"
"Авиационная промышленность","30.3",80578.9102777321,57986.0821386459,12445.5724627154,10693.1601983374,136179.236473748,665.969728888512,379.708454826308,289930.41069323
"Автомобильная промышленность","29",60252.5094340138,81206.3753900626,1920.33342145639,1798.38133836894,152669.377103741,861.097181725481,1030.19130305205,541375.83593375
"Аддитивные технологии","28",75142.5032835821,132805.828656716,0,0,110189.194925373,0,35.8208955223881,885372.191044776
"Деревообрабатывающая","16",35610.452221114,47418.9812670059,4308.85105413623,2740.15885291538,79898.7815087237,552.944487658808,3682.1434537162,316126.541780039
"Кабельная промышленность","27.32",92691.323359311,145766.458312781,6251.22119886172,1029.92692390074,180015.874372265,400.846852911478,1662.18179370276,971776.388751874
"Легкая промышленность","13",32466.8656920752,38765.0199895384,21832.2021934528,3511.32114729088,72548.9836781309,672.17074059544,18100.5314528573,258433.466596923
"Медицинская промышленность","21.2",67487.002718547,73192.8684855386,7708.62136015314,8485.49852905513,145033.85335582,302.858941446571,5177.61398757901,487952.456570257
"Металлообработка","25.6",30632.7171362408,12281.0943396226,83023.4716981132,11636.5188679245,107689.58490566,1184.06603773585,46673.6227358491,81873.9622641509
"Металлургия и металлообработка","24",53477.6005534391,45793.6408225294,10958.9407486906,2496.15237400189,127676.53429381,771.591771271572,8038.06554477548,305290.938816863
"Научная деятельность","74",84212.2814450788,26624.7210372344,7977.69345790437,6174.73905638063,174262.671850266,356.318262893849,999.632161983841,177498.140248229
"Производство ж/д транспорта","30.2",88965.7267037181,113154.803536335,10762.0686686619,1633.34297340014,124806.617400545,235.988835457511,456.580226653664,565774.017681676
"Производство машин и оборудования для сельского и лесного хозяйства","28.3",104340.609863014,36757.0035616438,0,0,238914.539060665,1590.10555772994,164.386731898239,245046.690410959
"Производство машин и оборудования общего назначения","28.1",63883.167432605,67021.8846755772,13603.6959319563,0,135646.483334143,593.078969623329,3065.54134629405,446812.564503848
"Производство прочих машин и оборудования общего назначения","28.2",60480.0387406786,73360.3219139528,6832.28847377159,708.476198159899,129459.711705584,543.353595333033,19455.5294611577,489068.812759685
"Производство прочих машин специального назначения","28.9",51380.403658677,57268.0271196977,7852.42457567492,1192.15540755448,129870.007597371,417.783071332877,53343.7644284984,381786.847464652
"Общее машиностроение (в т.ч. оборудование пищевой переработки, дорожногстроительная и сельскохозяйственная техника)","28",70041.7598796268,64073.8609901388,13787.1105342513,8254.91137909303,158473.059984042,455.490000377286,15837.3992870687,427159.073267592
"Станкоинструментальная промышленность","28.4",59012.2656771246,18066.9559835807,6031.68108333094,2506.0266412148,121315.866239917,596.253018342567,887.952464333898,120446.373223871
"Пищевая промышленность","10.8",52573.3197164217,34098.9281596078,9765.9307318873,3978.52059879292,185165.890251166,299.842694568168,6953.08878159344,227326.187730719
"Кондитерская отрасль","10.7",33918.8306726303,10886.317931832,4846.2646003925,3360.10475739325,78498.0250304044,142.081042933516,3796.04826535446,72575.4528788799
"Корма для животных","10.9",58842.9872649573,11171.2307692308,22233.2634432234,0,90985.3665934066,12.6007326007326,2845.44732600733,74474.8717948718
"Масложировая отрасль","10.4",12742.9284615385,5124.92307692308,0,0,17031.2307692308,0,0,34166.1538461539
"Молочная отрасль","10.5",40865.9009004765,31756.1913334826,6930.18997214924,1501.2618395367,150167.553622079,533.555461579101,3030.09605066397,211707.942223217
"Мукомольно-крупяная отрасль","10.6",52102.5776034107,104436.768477357,31939.7873918418,7600.36265198337,115843.905773682,3833.11203506012,27547.2311765367,696245.12318238
"Мясная отрасль","10.1",48204.6463156268,11319.362957009,5174.48940117558,791.853152604936,101539.772514661,603.039232327825,8740.49925332513,75462.4197133935
"Производство напитков","11",147845.25,375198.357725352,15137.3338028169,6643.81549295775,263662.698591549,1433.1323943662,3677.89978873239,1875991.78862676
"Производство плодоовощных консервов","10.3",32770.5303929221,56183.9655560558,6800.54126069338,0,80599.361143629,1120.60927510131,8743.33231877532,374559.770373705
"Рыбная отрасль","10.2",29407.3629175878,77981.1733511706,7085.00544214047,415.351743143813,85920.6621752508,255.491842140468,2579.95294180602,519874.489007804
"Сахарная отрасль","10.81",60186.0721126761,4828.22535211268,0,0,97676.192112676,2166.76056338028,0,32188.1690140845
"Хлебопекарная отрасль","10.7",42072.4981712716,28765.3769262319,4149.38930618001,689.229636625932,88558.3593243584,186.115471829938,1482.31586955537,191769.179508213
"Полиграфическая деятельность","18",29439.2928512429,94814.8367904113,18799.7067163513,4325.40944299339,115220.601824101,906.0945347945,4583.00688207331,632098.911936075
"Производство бытовой электроники и электрических приборов","26.4",48718.7369752393,75057.9642070117,7.67587312186978,0,110962.499098498,736.635726210351,13408.8964808013,500386.428046745
"Производство ж/д транспорта","30.2",85000.4058758936,136132.073571675,0,0,131779.427971031,192.827984825842,1024.2642142775,680660.367858374
"Производство кокса и нефтепродуктов","19",107461.832611019,212270.33646456,477448.482578992,775.366879064573,259214.007771136,801.566182749787,131532.821317743,1061351.6823228
"Производство напитков","11",48358.8050406303,4688.19233822378,3501.41272968649,2408.94740783606,41369.0602457705,313.982625863771,3868.57034006195,31254.6155881585
"Производство оружия, боеприпасов, спецхимии, военных машин","25.4",85635.1140140463,321426.587920504,11335.4414630058,7121.3348778035,173799.50540937,468.863391332109,14488.9244527097,1607132.93960252
"Производство прочих товаров народного потребления","32",33382.4413072402,72191.4745330523,10763.2587318588,2080.06370755909,106674.724582479,445.759096551113,17635.8871257193,481276.496887015
"Производство строительных материалов","23",37338.604108752,50617.5937811186,10090.7167489131,2317.16912568035,106648.978837374,1010.05943615265,10680.8659519673,337450.625207457
"Микроэлектроника","26",90119.5210502917,67041.7595387941,21549.9207046996,3918.34072530584,179084.394532775,339.735766345408,30179.0908006248,446945.063591961
"Приборостроение","26",83158.2940752965,65784.0524277269,8356.50929193896,3757.18841263943,151805.185181404,357.743981043035,2409.16208070248,438560.34951818
"Радиоэлектроника и приборостроение","26",74041.6915730433,112300.629043107,3166.59971374743,2.63549194387425,173309.844122824,539.553670387763,7736.17027641088,748670.860287377
"Электротехника","26",62459.4531856727,76002.5277180695,9898.05338087355,4677.8534279893,141604.426980772,455.968109002929,18129.2753001401,506683.518120464
"Электротехника/Судостроение","26",39349.3507289107,8364.00068796069,0,0,67865.2562162162,132.983882063882,3063.26181818182,55760.0045864046
"Станкоинструментальная промышленность","28.4",76615.9671404069,54227.031247814,27106.6571011213,9574.32362925625,163899.362172616,684.103409114289,2331.07089394095,361513.541652093
"Судостроение","30.1",77895.2725777979,1281.9980981016,4787.14057965948,3478.38939971332,143919.095096319,234.063257700241,16331.0069111632,8546.65398734399
"Топливно-энергетический комплекс","35_0",65309.3364656168,13926.5991912928,5147.44077087662,4034.38129244318,78247.8669428509,144.761861763155,2440.17071289032,92843.9946086184
"Фармацевтическая промышленность","21.1",90488.9133118749,222796.279502518,29029.0461299246,9447.48795394733,179094.454641768,314.732089500958,2455.26774423282,1113981.39751259
"Химическая промышленность","20.1",56796.3493876373,158100.957402325,4681.44282464445,1917.445767554,134946.231348981,791.15605298027,7147.67126648619,1054006.38268217
