"","industry","okved"
"1","Авиационная промышленность","30.3"
"2","Автомобильная промышленность","29"
"3","Аддитивные технологии","28"
"4","Деревообрабатывающая","16"
"5","Кабельная промышленность","27.32"
"6","Легкая промышленность","13"
"7","Медицинская промышленность","21.2"
"8","Металлообработка","25.6"
"9","Металлургия и металлообработка","24"
"10","Научная деятельность","74"
"11","Производство ж/д транспорта","30.2"
"12","Производство машин и оборудования для сельского и лесного хозяйства","28.3"
"13","Производство машин и оборудования общего назначения","28.1"
"14","Производство прочих машин и оборудования общего назначения","28.2"
"15","Производство прочих машин специального назначения","28.9"
"16","Общее машиностроение (в т.ч. оборудование пищевой переработки, дорожногстроительная и сельскохозяйственная техника)","28"
"17","Станкоинструментальная промышленность","28.4"
"18","Пищевая промышленность","10.8"
"19","Кондитерская отрасль","10.7"
"20","Корма для животных","10.9"
"21","Масложировая отрасль","10.4"
"22","Молочная отрасль","10.5"
"23","Мукомольно-крупяная отрасль","10.6"
"24","Мясная отрасль","10.1"
"25","Производство напитков","11"
"26","Производство плодоовощных консервов","10.3"
"27","Рыбная отрасль","10.2"
"28","Сахарная отрасль","10.81"
"29","Хлебопекарная отрасль","10.7"
"30","Полиграфическая деятельность","18"
"31","Производство бытовой электроники и электрических приборов","26.4"
"32","Производство кокса и нефтепродуктов","19"
"33","Производство оружия, боеприпасов, спецхимии, военных машин","25.4"
"34","Производство прочих товаров народного потребления","32"
"35","Производство строительных материалов","23"
"36","Микроэлектроника","26"
"37","Приборостроение","26"
"38","Радиоэлектроника и приборостроение","26"
"39","Электротехника","26"
"40","Электротехника/Судостроение","26"
"41","Судостроение","30.1"
"42","Топливно-энергетический комплекс","35_0"
"43","Фармацевтическая промышленность","21.1"
"44","Химическая промышленность","20.1"
"45","Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий из текстильной галантереи, ремонт, пошив и вязание трикотажных изделий по индивидуальному заказу
населения","13"
"46","Ремонт, чистка, окраска и пошив обуви","13"
"47","Парикмахерские и косметические услуги","13"
"48","Стирка, химическая чистка и крашение текстильных и меховых изделий","20.1"
"49","Изготовление и ремонт металлической галантереи, ключей, номерных знаков, указателей улиц","25.6"
